时间,商品名称,库存变化,单笔销量
2026-04-14 16:44:19,台湾地址,初始销量: -3,3
2026-04-14 16:44:19,国际地址,初始库存: 10000,0
2026-04-14 21:22:41,台湾地址,-3 -> -4,1
2026-04-14 22:49:21,台湾地址,-4 -> -8,4
2026-04-14 22:59:05,台湾地址,-8 -> -48,40
2026-04-14 23:44:53,台湾地址,-48 -> -51,3
2026-04-15 00:31:09,台湾地址,-51 -> -52,1
2026-04-15 00:42:51,台湾地址,-52 -> -53,1
2026-04-15 10:11:12,台湾地址,-53 -> -13,-40
2026-04-15 13:26:51,台湾地址,-13 -> -137,124
2026-04-15 13:59:13,台湾地址,-137 -> -142,5
2026-04-15 16:30:58,国际地址,10000 -> 9999,1
2026-04-15 17:22:40,台湾地址,-142 -> -141,-1
2026-04-15 17:45:20,国际地址,9999 -> 10000,-1
2026-04-15 19:46:55,台湾地址,-141 -> -144,3
2026-04-15 23:08:51,台湾地址,-144 -> -147,3
2026-04-15 23:23:14,台湾地址,-147 -> -148,1
2026-04-16 09:42:42,台湾地址,-148 -> -145,-3
2026-04-16 11:08:17,台湾地址,-145 -> -209,64
2026-04-16 18:16:19,台湾地址,-209 -> -210,1
2026-04-16 20:27:51,台湾地址,-210 -> -216,6
2026-04-17 03:00:27,台湾地址,-216 -> -92,-124
2026-04-17 03:00:51,台湾地址,-92 -> -216,124
2026-04-17 03:01:04,台湾地址,-216 -> -92,-124
2026-04-17 03:01:18,台湾地址,-92 -> -216,124
2026-04-17 03:01:53,台湾地址,-216 -> -92,-124
2026-04-17 03:02:06,台湾地址,-92 -> -216,124
2026-04-17 03:02:20,台湾地址,-216 -> -92,-124
2026-04-17 03:02:54,台湾地址,-92 -> -216,124
